ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	Disease	DSI g	DPI g	N variants gda	disease
0.8461538461538461	0	20	2	CD274	0.98199	CD274 molecule	2020.0	2025.0	3	13	0.3	1824		Metastatic non-small cell lung cancer	0.32	0.88	0	lung
0.9	0	716	5	EGFR	0.98131	epidermal growth factor receptor	2020.0	2025.0	5	10	0.3	2644		Metastatic non-small cell lung cancer	0.29	0.88	0	lung
1.0	0	26	3	PDCD1	0.029477	programmed cell death 1	2019.0	2025.0	4	7	0.2	1745		Metastatic non-small cell lung cancer	0.33	0.92	0	lung
1.0	0	549	2	FGFR1	1.0	fibroblast growth factor receptor 1	2015.0	2022.0	2	7	0.2	1542		Squamous non-small cell lung cancer (disorder)	0.35	0.92	0	lung
0.8333333333333334	0	2527	2	ALK	3.5482e-06	ALK receptor tyrosine kinase	2021.0	2026.0	2	6	0.2	944		Metastatic non-small cell lung cancer	0.39	0.88	0	lung
1.0	0	341	1	FGFR2	1.0	fibroblast growth factor receptor 2	2015.0	2025.0	2	6	0.2	1372		Squamous non-small cell lung cancer (disorder)	0.36	0.88	0	lung
1.0	0	1204	1	STK11	0.99991	serine/threonine kinase 11	2020.0	2025.0	1	3	0.2	664		Metastatic non-small cell lung cancer	0.42	0.88	0	lung
1.0	0	2527	1	ALK	3.5482e-06	ALK receptor tyrosine kinase	2018.0	2022.0	1	3	0.2	944		Adenosquamous cell lung cancer	0.39	0.88	0	lung
1.0	0	39	1	ROS1	3.4312999999999996e-52	ROS proto-oncogene 1, receptor tyrosine kinase	2016.0	2021.0	1	2	0.2	386		Adenosquamous cell lung cancer	0.47	0.88	0	lung
1.0	0	65	0	TP73	0.28241	tumor protein p73	2011.0	2026.0	0	2	0.2	478		Adenosquamous cell lung cancer	0.45	0.83	0	lung
1.0	0	234	1	KRAS	0.99914	KRAS proto-oncogene, GTPase	2020.0	2025.0	1	2	0.2	2050		Metastatic non-small cell lung cancer	0.32	0.88	0	lung
1.0	0	104	2	ERBB2	0.059432	erb-b2 receptor tyrosine kinase 2	2021.0	2025.0	2	2	0.2	1735		Metastatic non-small cell lung cancer	0.33	0.88	0	lung
1.0	0	549	2	BRAF	1.0	B-Raf proto-oncogene, serine/threonine kinase	2022.0	2025.0	4	2	0.2	1965		Metastatic non-small cell lung cancer	0.33	0.88	1	lung
1.0	0	16	1	KEAP1	0.08516	kelch like ECH associated protein 1	2022.0	2025.0	1	2	0.2	483		Metastatic non-small cell lung cancer	0.44	0.88	0	lung
1.0	0	20	0	CD274	0.98199	CD274 molecule	2020.0	2023.0	0	2	0.2	1824		Adenosquamous cell lung cancer	0.32	0.88	0	lung
1.0	0	234	0	KRAS	0.99914	KRAS proto-oncogene, GTPase	2016.0	2017.0	0	2	0.2	2050		Adenosquamous cell lung cancer	0.32	0.88	1	lung
1.0	0	162	0	MTOR	1.0	mechanistic target of rapamycin kinase	2022.0	2022.0	0	1	0.15	1920		Adenosquamous cell lung cancer	0.33	0.92	0	lung
1.0	0	1939	0	RB1	1.0	RB transcriptional corepressor 1	2025.0	2025.0	0	1	0.1	1073		Small cell lung cancer metastatic	0.37	0.88	0	lung
1.0	0	7909	0	NF1	0.99938	neurofibromin 1	2021.0	2021.0	0	1	0.1	951		Metastatic non-small cell lung cancer	0.39	0.88	0	lung
1.0	0	67	0	MAPK10	0.90481	mitogen-activated protein kinase 10	2026.0	2026.0	0	1	0.1	188		Metastatic non-small cell lung cancer	0.55	0.88	0	lung
1.0	0	54	1	VEGFA	0.1881	vascular endothelial growth factor A	2017.0	2017.0	3	1	0.1	3305		Metastatic non-small cell lung cancer	0.28	0.92	0	lung
1.0	0	45	0	CDC42	0.87196	cell division cycle 42	2024.0	2024.0	0	1	0.1	535		Metastatic non-small cell lung cancer	0.44	0.88	0	lung
1.0	0	5	0	NSG1	0.10366	neuronal vesicle trafficking associated 1	1986.0	1986.0	0	1	0.1	1146		Adenosquamous cell lung cancer	0.37	0.88	0	lung
