lambda_,mean_final_R,std_final_R
0.01,0.7724465558194774,0.015080797320047483
0.019999999999999997,0.8776722090261282,0.00702622302030836
0.03,0.9155581947743467,0.00907133323226999
0.039999999999999994,0.9352731591448931,0.001062265072446447
0.049999999999999996,0.9457244655581947,0.0052121397286203665
0.05999999999999999,0.9560570071258907,0.0037556741807225637
0.06999999999999999,0.9642517814726842,0.004666717982039993
0.07999999999999999,0.968289786223278,0.0007125890736342215
0.08999999999999998,0.9730403800475059,0.0027496049650333173
0.09999999999999998,0.9760095011876485,0.0027751357352845496
0.10999999999999997,0.9779097387173395,0.0027186515777338684
0.11999999999999998,0.9782660332541567,0.0038776312867730674
0.12999999999999998,0.9771971496437054,0.001824500177641
0.13999999999999999,0.9802850356294537,0.0029428768867847577
0.15,0.9838479809976247,0.0021045184259701985
0.15999999999999998,0.9843230403800476,0.0021769955795514643
0.16999999999999998,0.9850356294536817,0.0016542028832760005
0.18,0.9889548693586698,0.002971495487695188
0.18999999999999997,0.9839667458432304,0.002860236241993392
0.19999999999999998,0.9863420427553443,0.0018778370903612628
0.20999999999999996,0.9880047505938242,0.002387143852997853
0.21999999999999997,0.9871733966745844,0.003265493369327218
0.22999999999999998,0.9890736342042755,0.002333358991020033
0.23999999999999996,0.9910926365795725,0.002315153051023503
0.24999999999999997,0.9890736342042755,0.0021443551170151802
0.25999999999999995,0.9883610451306414,0.00245127879341453
0.26999999999999996,0.9906175771971496,0.0012111685305446237
0.27999999999999997,0.9914489311163894,0.001530177996048132
0.29,0.991211401425178,0.001268061550122496
0.3,0.9904988123515439,0.0025193828308309484
