algorithm,n_communities,modularity,mean_community_size,largest_community_size,stability_nmi,description_length
louvain,15,0.5003920538419722,115.2,353,0.7693487030731428,
greedy,14,0.42181544826869055,123.42857142857143,624,1.0,
leiden,16,0.5064205891299751,108.0,396,0.7933332248970322,
infomap,40,0.4889373902646377,43.2,282,0.7813671375830424,
dcsbm,73,0.22802321887472718,23.671232876712327,83,,97978.10358978892
