strategy,peak_infected,time_to_peak,final_R_fraction,lambda,mu
disease_gene,0.6252969121140143,5,0.9423990498812351,0.05,0.1
hub,0.6324228028503563,4,0.9435866983372921,0.05,0.1
random,0.6200118764845606,6,0.9400237529691211,0.05,0.1
