lambda_,mean_final_R,std_final_R
0.01,0.7772038180797305,0.00995836014706136
0.019999999999999997,0.8786075238629983,0.005211814210386209
0.03,0.9129702414373948,0.003906238547091774
0.039999999999999994,0.9370016844469401,0.006647343553935415
0.049999999999999996,0.950701852891634,0.0043694725341591615
0.05999999999999999,0.9528354856822011,0.0030547940502493936
0.06999999999999999,0.9655249859629421,0.005990782108186018
0.07999999999999999,0.9686692869174621,0.003319875463019509
0.08999999999999998,0.9693430656934308,0.00287619280738139
0.09999999999999998,0.973385738349242,0.0035261804532526956
0.10999999999999997,0.9746209994385178,0.004101512042167222
0.11999999999999998,0.9778775968556991,0.0033613991122056932
0.12999999999999998,0.9809096013475574,0.0015478999160123694
0.13999999999999999,0.9793374508702977,0.002418939834760018
0.15,0.9827063447501404,0.003021588780926143
0.15999999999999998,0.9814710836608647,0.0020706444598075097
0.16999999999999998,0.9851768669286918,0.00306715334839927
0.18,0.9848399775407074,0.001004410096574866
0.18999999999999997,0.9869736103312746,0.001198998119262351
0.19999999999999998,0.987085906793936,0.0025607533410424133
0.20999999999999996,0.9880965749578887,0.0009660106981518912
0.21999999999999997,0.9877596855699045,0.0030630391234106407
0.22999999999999998,0.9876473891072433,0.000794055902511558
0.23999999999999996,0.9873104997192588,0.002809656598135179
0.24999999999999997,0.989219539584503,0.00156410873410263
0.25999999999999995,0.9883211678832117,0.0023123256914063723
0.26999999999999996,0.988658057271196,0.0024189398347600212
0.27999999999999997,0.9911285794497473,0.001250480485756301
0.29,0.9909039865244245,0.0034866198082560396
0.3,0.9898933183604717,0.002328629012164818
