lambda_,mean_final_R,std_final_R
0.01,0.7560185185185186,0.018779269564163325
0.019999999999999997,0.8702546296296296,0.0046928553084984405
0.03,0.9021990740740741,0.002928034870526264
0.039999999999999994,0.9291666666666666,0.0026035235831486014
0.049999999999999996,0.9427083333333333,0.004855596519306268
0.05999999999999999,0.95,0.004905004652874339
0.06999999999999999,0.9569444444444445,0.004416385191745145
0.07999999999999999,0.9601851851851851,0.0034412196174348495
0.08999999999999998,0.9631944444444445,0.004293341896062835
0.09999999999999998,0.9680555555555556,0.0029824302608160167
0.10999999999999997,0.971412037037037,0.0023888619722859028
0.11999999999999998,0.9725694444444445,0.0036892077431734346
0.12999999999999998,0.9748842592592594,0.0020574524114156554
0.13999999999999999,0.9734953703703704,0.0026745879648822687
0.15,0.9803240740740741,0.0010980130764473852
0.15999999999999998,0.982175925925926,0.002238319398821046
0.16999999999999998,0.9819444444444445,0.0019158501570887673
0.18,0.9809027777777779,0.003714538549972505
0.18999999999999997,0.9827546296296296,0.002018008770157729
0.19999999999999998,0.9828703703703703,0.0022739447574523877
0.20999999999999996,0.9831018518518517,0.002546296296296289
0.21999999999999997,0.9866898148148149,0.0013694629127545329
0.22999999999999998,0.9842592592592592,0.0029824302608159868
0.23999999999999996,0.9849537037037038,0.0020046884346862064
0.24999999999999997,0.9876157407407407,0.0018876743553588222
0.25999999999999995,0.9878472222222221,0.001636821252746645
0.26999999999999996,0.9886574074074075,0.0017399648586079585
0.27999999999999997,0.9892361111111111,0.002654477995643479
0.29,0.9890046296296295,0.0022856964882096505
0.3,0.9875,0.0011340230290662913
