strategy,peak_infected,time_to_peak,final_R_fraction,lambda,mu
disease_gene,0.6406513194834362,5,0.9494665918023583,0.05,0.1
hub,0.6294216732172937,5,0.9432902863559798,0.05,0.1
random,0.6280741156653565,6,0.9517125210555868,0.05,0.1
