fraction_removed,relative_lcc_size,relative_lcc_std,strategy
0.0,1.0,0.0,random_failure
0.009883720930232558,0.9897674418604652,0.00043833548542151346,random_failure
0.019767441860465116,0.9793313953488372,0.0008107780338548996,random_failure
0.030232558139534883,0.9686337209302327,0.0010413137608718307,random_failure
0.04011627906976744,0.9584593023255813,0.0012147948659261493,random_failure
0.05,0.9483720930232558,0.0012311601503533077,random_failure
0.05988372093023256,0.9382848837209302,0.0011516448677177619,random_failure
0.06976744186046512,0.9279941860465117,0.0011043290131300813,random_failure
0.08023255813953488,0.9173546511627906,0.0010716250966830662,random_failure
0.09011627906976744,0.9069767441860466,0.0012931791070450052,random_failure
0.1,0.8968023255813954,0.0013136528723173397,random_failure
0.10988372093023256,0.8865697674418606,0.0015312724104896676,random_failure
0.11976744186046512,0.8765406976744187,0.0014150360435832678,random_failure
0.13023255813953488,0.8658139534883722,0.001492440126040903,random_failure
0.14011627906976745,0.8556976744186047,0.001596122653844772,random_failure
0.15,0.8457558139534884,0.00170915452445525,random_failure
0.15988372093023256,0.8355232558139536,0.0017174615212650383,random_failure
0.1697674418604651,0.8253488372093024,0.0017431657562538073,random_failure
0.18023255813953487,0.8144186046511628,0.0019106600843203584,random_failure
0.19011627906976744,0.8041279069767441,0.0019319571714778584,random_failure
0.2,0.7938953488372092,0.0020359762760269306,random_failure
0.20988372093023255,0.7838662790697675,0.0017882539875974908,random_failure
0.21976744186046512,0.7737790697674418,0.0019502873464761037,random_failure
0.2302325581395349,0.7629651162790697,0.0022955527645129353,random_failure
0.24011627906976743,0.7527616279069768,0.0024801380026631924,random_failure
0.25,0.7426453488372093,0.0023730993017644568,random_failure
0.25988372093023254,0.7324418604651163,0.002691526358501834,random_failure
0.26976744186046514,0.722296511627907,0.0027611849802634185,random_failure
0.2802325581395349,0.7117441860465117,0.0027374042290845215,random_failure
0.29011627906976745,0.7013662790697675,0.0029178194362796065,random_failure
0.3,0.6912209302325582,0.0028910210831847223,random_failure
0.30988372093023253,0.6808139534883721,0.002922236569476928,random_failure
0.31976744186046513,0.6707558139534884,0.002688219407555919,random_failure
0.3302325581395349,0.6597093023255814,0.0027984643047677727,random_failure
0.34011627906976744,0.6495058139534884,0.0030838192817234885,random_failure
0.35,0.639593023255814,0.0031614449221228696,random_failure
0.3598837209302326,0.6294767441860465,0.003006852212673187,random_failure
0.3697674418604651,0.6192151162790698,0.003125080056473618,random_failure
