algorithm,n_communities,modularity,mean_community_size,largest_community_size,stability_nmi,description_length
louvain,9,0.4919694778678063,187.11111111111111,324,0.6952431952831162,
greedy,9,0.43044913149531344,187.11111111111111,597,,
leiden,10,0.49749506916173725,168.4,357,0.766362712849418,
infomap,40,0.4729825147185673,42.1,289,0.8222732659413493,
DCSBM,64,0.2402983899109287,26.3125,111,,95989.91642818891
