algorithm,n_communities,modularity,mean_community_size,largest_community_size,stability_nmi,description_length
louvain,10,0.49544756594187683,178.1,319,0.7174158671108704,
greedy,12,0.40193404045961795,148.41666666666666,652,,
leiden,10,0.5011935558405722,178.1,451,0.7575016699984143,
infomap,36,0.4764103803663132,49.47222222222222,292,0.8328999411309963,
DCSBM,62,0.24141518906081888,28.725806451612904,100,,103326.97590306251
