strategy,peak_infected,time_to_peak,final_R_fraction,lambda,mu
disease_gene,0.42874109263657956,4,0.8610451306413301,0.05,0.3
hub,0.44002375296912116,3,0.8456057007125891,0.05,0.3
random,0.42339667458432306,4,0.8616389548693587,0.05,0.3
