lambda_,mean_final_R,std_final_R,mean_extinction_time
0.001,0.01942515432098765,0.002184217876550679,14.266666666666667
0.0011590510483144817,0.019598765432098764,0.0020032029298992543,13.766666666666667
0.0013433993325989001,0.020543981481481486,0.0029117864693274454,13.866666666666667
0.0015570684047537316,0.02170138888888889,0.003493856214843422,15.0
0.0018047217668271701,0.02289737654320988,0.004464361411218363,15.766666666666667
0.002091764655756995,0.025192901234567903,0.006384535479272116,17.366666666666667
0.0024244620170823282,0.027449845679012343,0.007657984650952757,19.8
0.002810075242497918,0.03753858024691358,0.015239978882922642,23.333333333333332
0.0032570206556597828,0.041666666666666664,0.017435540046086155,27.5
0.0037750532053243916,0.06589506172839507,0.03417023088433062,34.46666666666667
0.004375479375074184,0.09785879629629628,0.0488967189376848,43.5
0.005071403956558132,0.15877700617283955,0.06102374684980157,51.2
0.0058780160722749115,0.23541666666666664,0.03693574594370505,54.06666666666667
0.006812920690579608,0.2957175925925926,0.0258411346300604,50.1
0.007896522868499725,0.35871913580246917,0.022590077094241216,45.86666666666667
0.009152473108773892,0.41612654320987646,0.019907706476842448,43.666666666666664
0.010608183551394482,0.4711033950617284,0.01756181145427211,39.2
0.012295426265956222,0.5190393518518518,0.01808381943198472,38.2
0.014251026703029978,0.5644868827160494,0.016960187657224627,36.733333333333334
0.016517667439704575,0.6169945987654321,0.01423821509511782,35.266666666666666
0.019144819761699575,0.6577739197530865,0.017859039661069283,33.166666666666664
0.022189823414589707,0.6968364197530865,0.0164822111666281,35.4
0.025719138090593445,0.728317901234568,0.014645307680485551,32.93333333333333
0.02980979396564726,0.7631751543209877,0.01220564936784672,31.8
0.03455107294592218,0.7874421296296295,0.010095740019904272,30.7
0.04004645731836125,0.8135416666666668,0.012225495259468123,29.266666666666666
0.046415888336127774,0.8388117283950617,0.009056584566662406,29.9
0.05379838403443684,0.8591820987654322,0.008390649371501356,29.3
0.062355073412739125,0.8754243827160492,0.0062452351902809525,28.966666666666665
0.07227271320676178,0.891936728395062,0.006015797501396498,28.4
0.08376776400682916,0.9060956790123456,0.006591353609531443,27.7
0.09709111468707549,0.916454475308642,0.0061070532360085455,27.433333333333334
0.11253355826007645,0.9276234567901234,0.005341518433714976,26.933333333333334
0.1304321386719004,0.9368055555555553,0.005192018342570934,27.133333333333333
0.15117750706156616,0.9448495370370371,0.005742789950615921,26.6
0.17522244804127837,0.9529513888888891,0.004924425092477956,25.533333333333335
0.20309176209047347,0.9600308641975309,0.0032938132929770866,25.133333333333333
0.23539371975499856,0.9653163580246915,0.0033575899262399097,26.333333333333332
0.2728333376486767,0.9716628086419753,0.00397437405443447,25.1
0.31622776601683794,0.9764274691358025,0.0017612210201409363,24.6
