lambda_,mean_final_R,std_final_R,mean_extinction_time
0.001,0.03463974663499604,0.01625628094544587,62.766666666666666
0.0011590510483144817,0.052375296912114025,0.03425852893545354,88.16666666666667
0.0013433993325989001,0.07887965162311955,0.042806197031697066,116.6
0.0015570684047537316,0.13125494853523356,0.06129280271178904,142.2
0.0018047217668271701,0.19600158353127475,0.047418995394720415,148.4
0.002091764655756995,0.26539984164687247,0.02638653278024677,161.26666666666668
0.0024244620170823282,0.32693982581155984,0.026826436253045344,141.63333333333333
0.002810075242497918,0.3780285035629454,0.017247229173520996,137.46666666666667
0.0032570206556597828,0.4362628661916073,0.02506769895982851,125.23333333333333
0.0037750532053243916,0.4873911322248615,0.020184016695989185,121.73333333333333
0.004375479375074184,0.5369754552652414,0.02740352800759223,123.76666666666667
0.005071403956558132,0.5933689627870149,0.020496075470209943,114.3
0.0058780160722749115,0.6325019794140933,0.02065890128169132,105.8
0.006812920690579608,0.6740102929532859,0.015211240305869766,103.96666666666667
0.007896522868499725,0.7128068091844814,0.01591661876221835,103.33333333333333
0.009152473108773892,0.7440221694378463,0.014070780329200392,99.3
0.010608183551394482,0.7809184481393507,0.011504398304351016,98.9
0.012295426265956222,0.8072248614410132,0.013428380806545397,96.8
0.014251026703029978,0.8306017418844022,0.00917893394592755,92.33333333333333
0.016517667439704575,0.8520783847980997,0.006604275893247969,88.56666666666666
0.019144819761699575,0.8701306413301663,0.007370998960607674,90.5
0.022189823414589707,0.8864806017418846,0.008571228728353562,86.36666666666666
0.025719138090593445,0.9003365003958828,0.007534914761352902,91.0
0.02980979396564726,0.9143309580364214,0.0068943876586193276,84.76666666666667
0.03455107294592218,0.9264251781472682,0.005877260113282365,82.26666666666667
0.04004645731836125,0.9347980997624703,0.00476886825584418,82.0
0.046415888336127774,0.9425771971496438,0.005062387823396828,81.33333333333333
0.05379838403443684,0.9520190023752969,0.004266727976344412,81.0
0.062355073412739125,0.9597585114806017,0.004700056139250986,84.36666666666666
0.07227271320676178,0.963756927949327,0.004280708944648609,78.53333333333333
0.08376776400682916,0.9694774346793349,0.004316575260186748,77.53333333333333
0.09709111468707549,0.973178939034046,0.004480870645911906,77.83333333333333
0.11253355826007645,0.9761282660332543,0.003658651259085378,79.5
0.1304321386719004,0.9796516231195566,0.002546914506170515,79.26666666666667
0.15117750706156616,0.9820863024544734,0.003035997951341628,81.16666666666667
0.17522244804127837,0.9847189231987332,0.002579017810752534,78.16666666666667
0.20309176209047347,0.9873317498020584,0.0019047682856246162,77.6
0.23539371975499856,0.9891330166270784,0.002206758215684338,77.5
0.2728333376486767,0.9908551068883612,0.0024940617577197243,77.1
0.31622776601683794,0.9926167854315122,0.001985442127637498,79.43333333333334
