strategy,peak_infected,time_to_peak,final_R_fraction,lambda,mu
disease_gene,0.4267265581134194,3,0.8556990454800674,0.05,0.3
hub,0.43234138124649074,3,0.8489612577203818,0.05,0.3
random,0.43604716451431785,4,0.8601909039865244,0.05,0.3
