lambda_,mean_final_R,std_final_R,mean_extinction_time
0.001,0.017555680329402957,0.0011771802503100423,12.533333333333333
0.0011590510483144817,0.017986150102938425,0.0018593082670471052,12.433333333333334
0.0013433993325989001,0.018865805727119597,0.0026359785725559807,13.866666666666667
0.0015570684047537316,0.019689313119970058,0.0028554134448128088,15.133333333333333
0.0018047217668271701,0.02122403144300955,0.003944787887759752,15.266666666666667
0.002091764655756995,0.023675837544450688,0.00605444121732695,16.933333333333334
0.0024244620170823282,0.028148979973797495,0.008877499218501986,22.566666666666666
0.002810075242497918,0.033221036870671905,0.01560212646083196,23.4
0.0032570206556597828,0.042429346808908856,0.022865355649536935,27.366666666666667
0.0037750532053243916,0.060396780834737054,0.03250191616960845,33.1
0.004375479375074184,0.10260153471832305,0.061912420978961984,42.43333333333333
0.005071403956558132,0.15687815833801236,0.06129741271069302,48.233333333333334
0.0058780160722749115,0.24387048474639714,0.034602174838765064,55.4
0.006812920690579608,0.30844095077671724,0.023994127648033357,51.03333333333333
0.007896522868499725,0.3611267078420363,0.02320631299683414,46.6
0.009152473108773892,0.41252105558674906,0.018060277390196177,43.96666666666667
0.010608183551394482,0.472749391727494,0.0201406992070712,39.96666666666667
0.012295426265956222,0.5257907542579076,0.018709347470646336,39.36666666666667
0.014251026703029978,0.5794871794871795,0.020035785645191522,38.333333333333336
0.016517667439704575,0.6181733108740409,0.015982357314842818,34.833333333333336
0.019144819761699575,0.6636533782519184,0.013111530420600068,35.06666666666667
0.022189823414589707,0.7041362530413625,0.013723569124635881,34.766666666666666
0.025719138090593445,0.7439640651319482,0.01299197762540837,32.63333333333333
0.02980979396564726,0.7732734418865805,0.011474405443911533,32.733333333333334
0.03455107294592218,0.8059517125210556,0.010839759859667859,29.966666666666665
0.04004645731836125,0.8274564851207187,0.009169139697867437,31.4
0.046415888336127774,0.8531910911472956,0.008064957207470254,29.766666666666666
0.05379838403443684,0.8730675650383678,0.007569166632343326,29.0
0.062355073412739125,0.8887703537338573,0.0058823591227886735,28.7
0.07227271320676178,0.9041549691184728,0.0064037708092029594,27.466666666666665
0.08376776400682916,0.9159648137750328,0.005944527802689225,27.8
0.09709111468707549,0.9273816208122777,0.0044526959585889266,26.233333333333334
0.11253355826007645,0.9377316114542391,0.005118119950913854,26.733333333333334
0.1304321386719004,0.9470709339322478,0.004298019867312699,26.2
0.15117750706156616,0.954800673778776,0.004115196789602192,26.666666666666668
0.17522244804127837,0.9609956953022647,0.004453639893014668,25.533333333333335
0.20309176209047347,0.9660677521991389,0.003161909377501913,25.166666666666668
0.23539371975499856,0.9721130451057459,0.003677125716711306,25.733333333333334
0.2728333376486767,0.9755380872169194,0.0033554016844725932,25.8
0.31622776601683794,0.9813775032753135,0.002413212981139362,24.533333333333335
