strategy,peak_infected,time_to_peak,final_R_fraction,lambda,mu
disease_gene,0.6116898148148148,5,0.9398148148148148,0.05,0.1
hub,0.6082175925925926,4,0.9369212962962963,0.05,0.1
random,0.6231481481481481,6,0.9461805555555556,0.05,0.1
