fraction_removed,relative_lcc_size,relative_lcc_std,strategy
0.0,1.0,0.0,random_failure
0.010129431626336522,0.9894766460326393,0.0005196288783773944,random_failure
0.020258863252673044,0.9789532920652786,0.0007615972964310413,random_failure
0.029825548677546426,0.9691052335396735,0.0008346875055819759,random_failure
0.03995498030388295,0.9586662915025324,0.000991237392142461,random_failure
0.05008441193021947,0.9484243106359032,0.0011586934290713229,random_failure
0.06021384355655599,0.9379572312886888,0.0014361783498425473,random_failure
0.06978052898142938,0.9283061339335961,0.0014422583579452807,random_failure
0.0799099606077659,0.91809229037704,0.0014886066081260813,random_failure
0.09003939223410241,0.9077658975801913,0.0014480251076890186,random_failure
0.10016882386043895,0.896933033202026,0.001855446222168093,random_failure
0.10973550928531232,0.8870849746764209,0.0018373923145639478,random_failure
0.11986494091164884,0.8765897580191334,0.0018806520923510658,random_failure
0.12999437253798538,0.8662633652222848,0.0018554462221680877,random_failure
0.14012380416432188,0.8558525604952166,0.0018644076180458588,random_failure
0.1502532357906584,0.8454417557681486,0.0018644076180458799,random_failure
0.1598199212155318,0.8357625211029825,0.0020106496897795744,random_failure
0.16994935284186832,0.8253235790658413,0.0020445584833522425,random_failure
0.18007878446820483,0.8150815981992121,0.0021479235249776745,random_failure
0.19020821609454136,0.8046145188519978,0.002210638629148403,random_failure
0.19977490151941474,0.7946820483961733,0.002170118391333193,random_failure
0.20990433314575127,0.784243106359032,0.0022091301754557516,random_failure
0.22003376477208778,0.7738604389420372,0.002282419785106729,random_failure
0.2301631963984243,0.763618458075408,0.002376859938937341,random_failure
0.23972988182329769,0.7538548114800225,0.0024927212934649167,random_failure
0.24985931344963422,0.7435284186831739,0.002626060789214176,random_failure
0.25998874507597075,0.7330613393359595,0.002478471786362582,random_failure
0.27011817670230726,0.7227912211592572,0.002376333949197827,random_failure
0.28024760832864376,0.7124366910523354,0.0024631250642764974,random_failure
0.28981429375351714,0.7025886325267304,0.002179506666408269,random_failure
0.2999437253798537,0.6920652785593697,0.0022480210326042563,random_failure
0.3100731570061902,0.6816263365222285,0.0023936305830708996,random_failure
0.3202025886325267,0.6711873944850872,0.0021142929344850074,random_failure
0.3297692740574001,0.661480022509848,0.0021251047860656024,random_failure
0.33989870568373665,0.6510410804727068,0.001974049438959452,random_failure
0.35002813731007315,0.6405458638154192,0.0017212366165160976,random_failure
0.36015756893640966,0.6301631963984243,0.0017851705583315188,random_failure
0.3697242543612831,0.620258863252673,0.0018673108118789409,random_failure
0.3798536859876196,0.6099606077658976,0.0017117691971284487,random_failure
0.3899831176139561,0.5997749015194148,0.0019201198309942726,random_failure
0.4001125492402926,0.5893640967923466,0.0018894939468900712,random_failure
0.41024198086662916,0.5791502532357906,0.0018282985081077604,random_failure
0.41980866629150254,0.5692740574001125,0.0019866740577559393,random_failure
0.42993809791783905,0.558947664603264,0.001990655162534102,random_failure
0.44006752954417555,0.5483398987056838,0.0021787417930151463,random_failure
0.4501969611705121,0.5381541924592008,0.0023317272602154035,random_failure
0.4597636465953855,0.5281654473832302,0.0023627934745944746,random_failure
0.469893078221722,0.5178390545863816,0.002598785829840669,random_failure
0.4800225098480585,0.5073157006190209,0.003035976023199816,random_failure
0.49015194147439506,0.4966797974113675,0.003122047121853035,random_failure
0.49971862689926844,0.486916150815982,0.003043515426671922,random_failure
0.509848058525605,0.47616769836803596,0.0030292432944431695,random_failure
0.5199774901519415,0.46539110861001687,0.0032198153320408592,random_failure
0.530106921778278,0.4551491277433877,0.003339748303116257,random_failure
