node,core_number,in_backbone
9606.ENSP00000412237,37,True
9606.ENSP00000442424,36,False
9606.ENSP00000379111,36,False
9606.ENSP00000499900,37,True
9606.ENSP00000463978,7,False
9606.ENSP00000398880,14,False
9606.ENSP00000294489,10,False
9606.ENSP00000338934,27,False
9606.ENSP00000353408,21,False
9606.ENSP00000457421,37,True
9606.ENSP00000480043,32,False
9606.ENSP00000364898,37,True
9606.ENSP00000256178,14,False
9606.ENSP00000261937,37,True
9606.ENSP00000297904,29,False
9606.ENSP00000333769,15,False
9606.ENSP00000265077,14,False
9606.ENSP00000263923,37,True
9606.ENSP00000259607,37,True
9606.ENSP00000455897,31,False
9606.ENSP00000261405,29,False
9606.ENSP00000310036,37,True
9606.ENSP00000497290,27,False
9606.ENSP00000297258,8,False
9606.ENSP00000310928,15,False
9606.ENSP00000312652,34,False
9606.ENSP00000256104,15,False
9606.ENSP00000427514,34,False
9606.ENSP00000264896,30,False
9606.ENSP00000261693,30,False
9606.ENSP00000305422,34,False
9606.ENSP00000257904,34,False
9606.ENSP00000362082,24,False
9606.ENSP00000301455,10,False
9606.ENSP00000462468,21,False
9606.ENSP00000328169,12,False
9606.ENSP00000364163,13,False
9606.ENSP00000352455,4,False
9606.ENSP00000362361,25,False
9606.ENSP00000386759,20,False
9606.ENSP00000338272,13,False
9606.ENSP00000357442,12,False
9606.ENSP00000499501,34,False
9606.ENSP00000258962,19,False
9606.ENSP00000362820,17,False
9606.ENSP00000341826,18,False
9606.ENSP00000352252,34,False
9606.ENSP00000349428,17,False
9606.ENSP00000346694,18,False
9606.ENSP00000365458,19,False
9606.ENSP00000355657,34,False
9606.ENSP00000339835,34,False
9606.ENSP00000333277,34,False
9606.ENSP00000385269,19,False
9606.ENSP00000361626,19,False
9606.ENSP00000296474,7,False
9606.ENSP00000313199,18,False
9606.ENSP00000404121,17,False
9606.ENSP00000283131,30,False
9606.ENSP00000397552,25,False
9606.ENSP00000421339,17,False
9606.ENSP00000425561,18,False
9606.ENSP00000416255,17,False
9606.ENSP00000261783,11,False
9606.ENSP00000327251,21,False
9606.ENSP00000349446,21,False
9606.ENSP00000430950,29,False
9606.ENSP00000382688,18,False
9606.ENSP00000433205,6,False
9606.ENSP00000490491,16,False
9606.ENSP00000433760,21,False
9606.ENSP00000498227,37,True
9606.ENSP00000431418,37,True
9606.ENSP00000305988,14,False
9606.ENSP00000359077,14,False
9606.ENSP00000411355,37,True
9606.ENSP00000449404,12,False
9606.ENSP00000339191,37,True
9606.ENSP00000361405,37,True
9606.ENSP00000345344,10,False
9606.ENSP00000332296,6,False
9606.ENSP00000386135,14,False
9606.ENSP00000303507,14,False
9606.ENSP00000361423,34,False
9606.ENSP00000376345,37,True
9606.ENSP00000401303,37,True
9606.ENSP00000341208,37,True
9606.ENSP00000428056,37,True
9606.ENSP00000354952,28,False
9606.ENSP00000271640,20,False
9606.ENSP00000328547,30,False
9606.ENSP00000379078,31,False
9606.ENSP00000352516,33,False
9606.ENSP00000479617,30,False
9606.ENSP00000257552,4,False
9606.ENSP00000451300,13,False
9606.ENSP00000357206,19,False
9606.ENSP00000252809,3,False
9606.ENSP00000351905,27,False
9606.ENSP00000347942,23,False
9606.ENSP00000371798,10,False
9606.ENSP00000261313,6,False
9606.ENSP00000419060,33,False
9606.ENSP00000302486,32,False
9606.ENSP00000262746,20,False
9606.ENSP00000252137,3,False
9606.ENSP00000297265,4,False
9606.ENSP00000308351,15,False
9606.ENSP00000362146,34,False
9606.ENSP00000360540,34,False
9606.ENSP00000424827,22,False
9606.ENSP00000496832,26,False
9606.ENSP00000428924,37,True
9606.ENSP00000398568,31,False
9606.ENSP00000250498,2,False
9606.ENSP00000420641,1,False
9606.ENSP00000291527,7,False
9606.ENSP00000391490,4,False
9606.ENSP00000325120,34,False
9606.ENSP00000438804,10,False
9606.ENSP00000480291,4,False
9606.ENSP00000469863,3,False
9606.ENSP00000311579,10,False
9606.ENSP00000381740,8,False
9606.ENSP00000312987,27,False
9606.ENSP00000405453,7,False
9606.ENSP00000473391,29,False
9606.ENSP00000249501,3,False
